Term | File path | Line numbers
531 | tracker-ui-good\tracker-ui\src\methods\531\components\steps\Step2TemplateOrCustom.jsx | 3,4,33,35
531 | tracker-ui-good\tracker-ui\src\methods\531\components\steps\Step3DesignCustom.jsx | 112,114,118
531 | tracker-ui-good\tracker-ui\src\methods\531\components\steps\Step4ReviewExport.jsx | 7,8,198,200,202,204,208,443
531 | tracker-ui-good\tracker-ui\src\methods\531\contexts\ProgramContextV2.jsx | 34,36,52
531 | tracker-ui-good\tracker-ui\src\methods\531\index.js | 5,8
531 | tracker-ui-good\tracker-ui\src\methods\531\loadPack.js | 7,8
531 | tracker-ui-good\tracker-ui\src\pages\BuilderReview.tsx | 3
531 | tracker-ui-good\tracker-ui\src\pages\TrainToday.jsx | 109
531 | tracker-ui-good\tracker-ui\src\tests\531\assistance.coverage.test.jsx | 2,11
531 | tracker-ui-good\tracker-ui\src\tests\531\calc.additional.branches.test.jsx | 8,15
531 | tracker-ui-good\tracker-ui\src\tests\531\calc.branches.coverage.test.jsx | 10
531 | tracker-ui-good\tracker-ui\src\tests\531\calc.coverage.test.jsx | 15
531 | tracker-ui-good\tracker-ui\src\tests\531\progression.coverage.test.jsx | 2
531 | tracker-ui-good\tracker-ui\src\tests\531\schedule.coverage.test.jsx | 2,7
531 | tracker-ui-good\tracker-ui\src\tests\531\schedule.shape.test.jsx | 2,30,31
531 | tracker-ui-good\tracker-ui\src\tests\assistance\assistance.equipment.edge.test.jsx | 2
531 | tracker-ui-good\tracker-ui\tests\assistance.catalog.test.jsx | 2,3
531 | tracker-ui-good\tracker-ui\tests\assistance.equipment.edge.test.jsx | 3
531 | tracker-ui-good\tracker-ui\tests\f531-step4.snap.test.jsx | 4,5,6,7
531 | tracker-ui-good\tracker-ui\vitest.config.js | 50,51,52,53,54,55,56,57,58,59,61,62,63,64
BBB | CURRENT_STATUS_UPDATE_AUGUST_2025.md | 45
BBB | FIVETHREEONE_IMPLEMENTATION_COMPLETE.md | 46
BBB | MULTI_PHASE_LEADER_ANCHOR_DESIGN.md | 11,54,177
BBB | enhanced-supplemental.jsx | 3,7,16,21,101,105,106,325,327
BBB | js\algorithms\examples\systemUsageExamples.js | 39,41
BBB | js\algorithms\fiveThreeOne.js | 199,240,271,286
BBB | js\examples\fiveThreeOneExample.js | 70
BBB | methodology\packs\531.bbb.v1.jsonc | 122,177,637,660
BBB | methodology\packs\531.bbb60.same.v1.jsonc | 6,17,126,127,245,404
BBB | methodology\packs\531.notes.md | 1,16,19,25,57
BBB | methodology\verification\531.bbb60.same.v1.verifier.jsonc | 2,6
BBB | public\methodology\packs\531.bbb.v1.jsonc | 122,177,637,660
BBB | public\methodology\packs\531.bbb60.same.v1.jsonc | 6,17,126,127,245,404
BBB | scripts\verify-531.mjs | 570
BBB | tracker-ui-good\tracker-ui\public\methodology\packs\531.bbb.v1.jsonc | 1,88,94,113,119
BBB | tracker-ui-good\tracker-ui\src\__tests__\new-architecture\V2_IMPLEMENTATION_SUMMARY.md | 24,47,66,90
BBB | tracker-ui-good\tracker-ui\src\__tests__\new-architecture\v2-smoke.test.js | 69,74
BBB | tracker-ui-good\tracker-ui\src\components\program\FiveThreeOneWorkflow.jsx | 115,276
BBB | tracker-ui-good\tracker-ui\src\components\program\steps\Step12BoringButBig.jsx | 10,17,19,35,131,138,148,158,198,210,225,266,316,329,341
BBB | tracker-ui-good\tracker-ui\src\components\program\steps\Step2TemplateGallery.jsx | 10,70,116,150,152,166
BBB | tracker-ui-good\tracker-ui\src\components\program\steps\Step3ScheduleWarmup.jsx | 8,167,168,169,170,277,591,707
BBB | tracker-ui-good\tracker-ui\src\components\program\steps\Step5AssistanceRouter.jsx | 36,47,56,94,118,119,122
BBB | tracker-ui-good\tracker-ui\src\components\program\steps\_registry\stepRegistry.js | 20,120,152,156,288
BBB | tracker-ui-good\tracker-ui\src\components\program\steps\_registry\validation.js | 26,27,30
BBB | tracker-ui-good\tracker-ui\src\components\program\tabs\MethodologySelection.jsx | 8
BBB | tracker-ui-good\tracker-ui\src\lib\fiveThreeOne\assistPlanner.js | 9,13,97
BBB | tracker-ui-good\tracker-ui\src\lib\fiveThreeOne\assistanceLibrary.js | 5,15
BBB | tracker-ui-good\tracker-ui\src\lib\fiveThreeOne\assistanceRules.js | 3,69,78,81
BBB | tracker-ui-good\tracker-ui\src\lib\fiveThreeOne\compute531.js | 147
BBB | tracker-ui-good\tracker-ui\src\lib\fiveThreeOne\validation.js | 45,48,55
BBB | tracker-ui-good\tracker-ui\src\lib\templates\531.presets.v2.js | 32,55,68,178
BBB | tracker-ui-good\tracker-ui\src\lib\templates\531.templateSpecs.js | 11,12,13,30
BBB | tracker-ui-good\tracker-ui\src\lib\templates\index.js | 12
BBB | tracker-ui-good\tracker-ui\src\methods\531\__tests__\assistance.index.edge.test.jsx | 21,23
BBB | tracker-ui-good\tracker-ui\src\methods\531\__tests__\step4.assistance.snap.test.jsx | 35
BBB | tracker-ui-good\tracker-ui\src\methods\531\assistanceRules.js | 62,79
BBB | tracker-ui-good\tracker-ui\src\methods\531\assistance\index.js | 102,103
BBB | tracker-ui-good\tracker-ui\src\methods\531\calc.js | 42,100
BBB | tracker-ui-good\tracker-ui\src\methods\531\components\Program531ActiveV2.jsx | 93
BBB | tracker-ui-good\tracker-ui\src\methods\531\components\ProgramWizard531V2.jsx | 268,273,989
BBB | tracker-ui-good\tracker-ui\src\methods\531\components\TemplateExplainerModal.jsx | 41,46,47,50,58,77
BBB | tracker-ui-good\tracker-ui\src\methods\531\components\assistance\AssistanceCatalogPicker.jsx | 26,40,96
BBB | tracker-ui-good\tracker-ui\src\methods\531\components\steps\Step2TemplateOrCustom.jsx | 70,80,95,96,101,106,146,147,174,190,191,218,283,284,288,377,382,383,386,392,405,410,413,415,507,609,610,636,792
BBB | tracker-ui-good\tracker-ui\src\methods\531\components\steps\Step3DesignCustom.jsx | 283,286,289,522,1091,1133,1225,1230,1235,1348,1399,1406,1484,1487,1535,1539,1548,1553,1615,1767,1940,2175
BBB | tracker-ui-good\tracker-ui\src\methods\531\components\steps\Step4ReviewExport.jsx | 155,237,239,240,241,383,388,389,473,480,481,503,672,680,746,1137,1148
BBB | tracker-ui-good\tracker-ui\src\methods\531\engines\FiveThreeOneEngine.v2.js | 93,94
BBB | tracker-ui-good\tracker-ui\src\methods\531\packAdapter.js | 1
BBB | tracker-ui-good\tracker-ui\src\pages\BuilderReview.tsx | 373
BBB | tracker-ui-good\tracker-ui\src\tests\531\assistance.coverage.test.jsx | 8,12,13
BBB | tracker-ui-good\tracker-ui\src\tests\531\calc.coverage.test.jsx | 64,94
BBB | tracker-ui-good\tracker-ui\tests\assistance.catalog.test.jsx | 20,46
BBB | tracker-ui-good\tracker-ui\tests\f531-step4.snap.test.jsx | 34
Boring But Big | js\algorithms\fiveThreeOne.js | 240
Boring But Big | methodology\packs\531.bbb.v1.jsonc | 72,127
Boring But Big | methodology\packs\531.bbb60.same.v1.jsonc | 2
Boring But Big | methodology\packs\531.notes.md | 3
Boring But Big | public\methodology\packs\531.bbb.v1.jsonc | 72,127
Boring But Big | public\methodology\packs\531.bbb60.same.v1.jsonc | 2
Boring But Big | tracker-ui-good\tracker-ui\public\methodology\packs\531.bbb.v1.jsonc | 74,99
Boring But Big | tracker-ui-good\tracker-ui\src\components\program\FiveThreeOneWorkflow.jsx | 277
Boring But Big | tracker-ui-good\tracker-ui\src\components\program\steps\Step12BoringButBig.jsx | 131,143
Boring But Big | tracker-ui-good\tracker-ui\src\components\program\steps\Step2TemplateGallery.jsx | 10
Boring But Big | tracker-ui-good\tracker-ui\src\components\program\steps\Step3ScheduleWarmup.jsx | 277,712
Boring But Big | tracker-ui-good\tracker-ui\src\components\program\steps\Step5AssistanceRouter.jsx | 56
Boring But Big | tracker-ui-good\tracker-ui\src\lib\engines\FiveThreeOneEngine.js | 27
Boring But Big | tracker-ui-good\tracker-ui\src\lib\templates\531.templateSpecs.js | 13
Boring But Big | tracker-ui-good\tracker-ui\src\methods\531\components\steps\Step2TemplateOrCustom.jsx | 344
Boring But Big | tracker-ui-good\tracker-ui\src\methods\531\components\steps\Step3DesignCustom.jsx | 1399
First Set Last | MULTI_PHASE_LEADER_ANCHOR_DESIGN.md | 177
First Set Last | enhanced-supplemental.jsx | 147
First Set Last | js\algorithms\fiveThreeOne.js | 246
First Set Last | tracker-ui-good\tracker-ui\src\components\program\steps\Step3ScheduleWarmup.jsx | 263,652
First Set Last | tracker-ui-good\tracker-ui\src\methods\531\components\steps\Step3DesignCustom.jsx | 1387,1648
FSL | CURRENT_STATUS_UPDATE_AUGUST_2025.md | 45
FSL | FIVETHREEONE_IMPLEMENTATION_COMPLETE.md | 46
FSL | MULTI_PHASE_LEADER_ANCHOR_DESIGN.md | 177
FSL | enhanced-supplemental.jsx | 113,117,172,174,175,176,177,245,327,351
FSL | js\algorithms\fiveThreeOne.js | 199,246,272,287
FSL | tracker-ui-good\tracker-ui\src\components\program\steps\Step3ScheduleWarmup.jsx | 8,263,513,567,591,599,677,683,746
FSL | tracker-ui-good\tracker-ui\src\methods\531\calc.js | 41
FSL | tracker-ui-good\tracker-ui\src\methods\531\components\steps\Step2TemplateOrCustom.jsx | 792
FSL | tracker-ui-good\tracker-ui\src\methods\531\components\steps\Step3DesignCustom.jsx | 1091,1133,1225,1230,1240,1348,1387,1440,1466,1467,1475,1476,1485,1621,1624,2178
SSL | enhanced-supplemental.jsx | 184,188,243,245,246,325
SSL | tracker-ui-good\tracker-ui\src\components\program\steps\Step3ScheduleWarmup.jsx | 8,270,599,707
SSL | tracker-ui-good\tracker-ui\src\methods\531\calc.js | 41
SSL | tracker-ui-good\tracker-ui\src\methods\531\components\steps\Step3DesignCustom.jsx | 1091,1230,1240,1348,1366,1393,1457,1458,1460,1672,1675,2178
Training Max | COMPLETE_PHASE_1_MAPPING.md | 147
Training Max | FIVETHREEONE_IMPLEMENTATION_COMPLETE.md | 11,26,32,33,51,58,96
Training Max | GOAL_FIRST_DEVELOPMENT_PLAN.md | 29
Training Max | MASTER_DEVELOPMENT_PLAN.md | 47,71,149
Training Max | StreamlinedProgram_MethodologyFirst.jsx | 150,154
Training Max | js\algorithms\fiveThreeOne.js | 11,12,47,49,96,136,144,171,181,361,405,414,417,423,460,462,471,473,519,585,636
Training Max | js\algorithms\trainingSystemSelector.js | 23
Training Max | js\algorithms\volume.js | 4,174,242
Training Max | js\utils\goalBasedSelector.js | 116
Training Max | js\utils\methodologySelector.js | 25,140
Training Max | methodology\packs\531.bbb.v1.jsonc | 679
Training Max | methodology\packs\531.notes.md | 7
Training Max | public\methodology\packs\531.bbb.v1.jsonc | 679
Training Max | tracker-ui-good\tracker-ui\public\methodology\packs\531.bbb.v1.jsonc | 450
Training Max | tracker-ui-good\tracker-ui\src\__tests__\new-architecture\V2_IMPLEMENTATION_SUMMARY.md | 87
Training Max | tracker-ui-good\tracker-ui\src\components\program\steps\MaxTestingStep.jsx | 140,187,200
Training Max | tracker-ui-good\tracker-ui\src\components\program\steps\ProgramPreview531.jsx | 242
Training Max | tracker-ui-good\tracker-ui\src\components\program\steps\Step10StallingReset.jsx | 30,178,326
Training Max | tracker-ui-good\tracker-ui\src\components\program\steps\Step1MaxTesting.jsx | 39,105,108,119,121,258,267
Training Max | tracker-ui-good\tracker-ui\src\components\program\steps\Step1ProgramFundamentals.jsx | 116,129,295
Training Max | tracker-ui-good\tracker-ui\src\components\program\steps\Step3ScheduleWarmup.jsx | 559
Training Max | tracker-ui-good\tracker-ui\src\components\program\steps\Step3WarmUp.jsx | 521
Training Max | tracker-ui-good\tracker-ui\src\components\program\steps\Step4CycleAndProgression.jsx | 98
